Region,Year,Price_EUR_per_Hectare
Alentejo,2024,5678.0
Alföld és Észak,2024,5944.0
Algarve,2024,27401.0
Alsace,2024,6520.0
"Anatoliki Makedonia, Thraki",2024,9030.0
Aquitaine,2024,7400.0
Attiki,2024,80025.0
Austria,2024,37600.0
Auvergne,2024,4750.0
Auvergne-Rhône-Alpes,2024,4860.0
Basse-Normandie,2024,8560.0
Bourgogne,2024,3040.0
Bourgogne-Franche-Comté,2024,2920.0
Bretagne,2024,6520.0
Bucureşti-Ilfov,2024,12559.0
Bulgaria,2024,8679.0
Burgenland,2024,20100.0
Centre — Val de Loire,2024,6670.0
Centro (PT),2024,57907.0
Centru,2024,8240.0
Champagne-Ardenne,2024,8000.0
Continente,2024,70509.0
Croatia,2024,5965.0
Czechia,2024,14835.0
Danmark,2024,22468.0
Denmark,2024,22468.0
Dolnośląskie,2024,12050.0
Drenthe,2024,77931.0
Dunántúl,2024,6150.0
Dytiki Elláda,2024,18531.0
Dytiki Makedonia,2024,6869.0
Dél-Alföld,2024,6263.0
Dél-Dunántúl,2024,6294.0
Eastern and Midland,2024,51408.0
Eesti,2024,7033.0
Estonia,2024,7033.0
Etelä-Suomi,2024,10417.0
European Union - 27 countries (from 2020),2024,15224.0
Finland,2024,8670.0
Flevoland,2024,187109.0
France,2024,6400.0
Franche-Comté,2024,2580.0
Friesland (NL),2024,66552.0
Gelderland,2024,79282.0
Grand Est,2024,6810.0
Grande Lisboa,2024,84678.0
Greece,2024,14312.0
Groningen,2024,82448.0
Guadeloupe,2024,5430.0
Haute-Normandie,2024,9900.0
Hauts-de-France,2024,10950.0
Helsinki-Uusimaa,2024,9907.0
Hovedstaden,2024,22667.0
Hrvatska,2024,5965.0
Hungary,2024,6041.0
Ile de France,2024,7750.0
Ionia Nisia,2024,11191.0
Ipeiros,2024,24358.0
Ireland,2024,50375.0
Jadranska Hrvatska,2024,6655.0
Jihovýchod,2024,15258.0
Jihozápad,2024,14124.0
Kentriki Elláda,2024,17983.0
Kentriki Makedonia,2024,10969.0
Kriti,2024,29527.0
Kujawsko-pomorskie,2024,17344.0
Kärnten,2024,47600.0
Közép-Dunántúl,2024,6187.0
Közép-Magyarország,2024,6270.0
La Réunion,2024,13790.0
Languedoc-Roussillon,2024,6770.0
Latvia,2024,4825.0
Latvija,2024,4825.0
Lietuva,2024,5590.0
Limburg (NL),2024,87128.0
Limousin,2024,3280.0
Lithuania,2024,5590.0
Lorraine,2024,4800.0
Lubelskie,2024,13295.0
Lubuskie,2024,9350.0
Luxembourg,2024,48180.0
Länsi-Suomi,2024,9665.0
Macroregiunea Doi,2024,8486.0
Macroregiunea Patru,2024,9238.0
Macroregiunea Trei,2024,8374.0
Macroregiunea Unu,2024,8765.0
Makroregion centralny,2024,13252.0
Makroregion południowo-zachodni,2024,14648.0
Makroregion południowy,2024,13159.0
Makroregion północno-zachodni,2024,21312.0
Makroregion północny,2024,16576.0
Makroregion województwo mazowieckie,2024,14749.0
Makroregion wschodni,2024,12747.0
Malta,2024,201263.0
Manner-Suomi,2024,8648.0
Martinique,2024,4010.0
Mazowiecki regionalny,2024,14797.0
Małopolskie,2024,13466.0
Mellersta Norrland,2024,2650.0
Midi-Pyrénées,2024,7310.0
Midtjylland,2024,20954.0
Moravskoslezsko,2024,12051.0
Netherlands,2024,96608.0
Niederösterreich,2024,30800.0
"Nisia Aigaiou, Kriti",2024,41677.0
Noord-Brabant,2024,99160.0
Noord-Holland,2024,92098.0
Noord-Nederland,2024,77689.0
Nord-Est,2024,7577.0
Nord-Pas de Calais,2024,12510.0
Nord-Vest,2024,9093.0
Nordjylland,2024,22801.0
Normandie,2024,9340.0
Norra Mellansverige,2024,4627.0
Norra Sverige,2024,3473.0
Norte,2024,130113.0
Notio Aigaio,2024,74859.0
Nouvelle-Aquitaine,2024,5470.0
Nyugat-Dunántúl,2024,5931.0
Oberösterreich,2024,52200.0
Occitanie,2024,7280.0
Oeste e Vale do Tejo,2024,30951.0
Oost-Nederland,2024,119121.0
Opolskie,2024,15710.0
Ostösterreich,2024,29700.0
Overijssel,2024,81378.0
Panonska Hrvatska,2024,6231.0
Pays de la Loire,2024,4040.0
Peloponnisos,2024,25971.0
Península de Setúbal,2024,41485.0
Pest,2024,6267.0
Picardie,2024,8790.0
Podkarpackie,2024,9625.0
Podlaskie,2024,16284.0
Pohjois- ja Itä-Suomi,2024,5482.0
Poitou-Charentes,2024,4760.0
Poland,2024,16118.0
Pomorskie,2024,13917.0
Portugal,2024,76556.0
Provence-Alpes-Côte d’Azur,2024,11930.0
RUP FR — Régions Ultrapériphériques Françaises,2024,8200.0
Região Autónoma dos Açores,2024,159141.0
Rhône-Alpes,2024,4570.0
Romania,2024,8700.0
Salzburg,2024,90900.0
Severen tsentralen,2024,10216.0
Severna i Yugoiztochna Bulgaria,2024,9660.0
Severoiztochen,2024,12838.0
Severovýchod,2024,14390.0
Severozapaden,2024,8509.0
Severozápad,2024,15273.0
Sjeverna Hrvatska,2024,4943.0
Sjælland,2024,26299.0
Slovakia,2024,5823.0
Slovenia,2024,28348.0
Slovenija,2024,28348.0
Slovensko,2024,5823.0
Småland med öarna,2024,7470.0
Sostinės regionas,2024,4250.0
Southern,2024,49810.0
Steiermark,2024,44100.0
Sterea Elláda,2024,22228.0
Stockholm,2024,8896.0
Stredné Slovensko,2024,3380.0
Střední Morava,2024,15938.0
Střední Čechy,2024,15262.0
Sud-Est,2024,9136.0
Sud-Muntenia,2024,8229.0
Sud-Vest Oltenia,2024,8930.0
Sweden,2024,10706.0
Syddanmark,2024,21457.0
Sydsverige,2024,22191.0
Södra Sverige,2024,14196.0
Südösterreich,2024,45200.0
Thessalia,2024,14687.0
Tirol,2024,99500.0
Utrecht,2024,87471.0
Vest,2024,9605.0
Vidurio ir vakarų Lietuvos regionas,2024,5726.0
Vorarlberg,2024,86700.0
Voreia Elláda,2024,10026.0
Voreio Aigaio,2024,36968.0
Vzhodna Slovenija,2024,25151.0
Västsverige,2024,11913.0
Východné Slovensko,2024,4004.0
Warmińsko-mazurskie,2024,14769.0
Warszawski stołeczny,2024,10597.0
West-Nederland,2024,97531.0
Westösterreich,2024,54300.0
Wielkopolskie,2024,21710.0
Wien,2024,180000.0
Yugoiztochen,2024,6855.0
Yugozapaden,2024,4477.0
Yugozapadna i Yuzhna tsentralna Bulgaria,2024,3757.0
Yuzhen tsentralen,2024,3438.0
Zachodniopomorskie,2024,9119.0
Zahodna Slovenija,2024,44506.0
Zeeland,2024,93490.0
Zuid-Holland,2024,113355.0
Zuid-Nederland,2024,95558.0
Západné Slovensko,2024,7291.0
Észak-Alföld,2024,6422.0
Észak-Magyarország,2024,4181.0
Östra Mellansverige,2024,8887.0
Östra Sverige,2024,8887.0
Övre Norrland,2024,1933.0
Česko,2024,14835.0
Łódzkie,2024,14326.0
Śląskie,2024,12392.0
Świętokrzyskie,2024,11272.0
